Benchmark,Prompt_ID,FRANC NDCG@k,Original NDCG@k
aiXcoder_prompt_gpt3.5_512_10.jsonl,178,0.595390241,0.480433595
aiXcoder_prompt_gpt3.5_512_10.jsonl,172,0.879490063,0.755044429
aiXcoder_prompt_gpt3.5_512_10.jsonl,162,0.879490063,0.841732365
aiXcoder_prompt_gpt3.5_512_10.jsonl,119,0.198619153,0.140843624
aiXcoder_prompt_gpt3.5_512_10.jsonl,115,0.479691326,0.334766089
aiXcoder_prompt_gpt3.5_512_10.jsonl,107,0.840381012,0.786290096
aiXcoder_prompt_gpt3.5_512_10.jsonl,106,0.587084352,0.411551434
aiXcoder_prompt_gpt3.5_512_10.jsonl,103,0.333333333,0.333333333
aiXcoder_prompt_gpt3.5_512_10.jsonl,94,0.460208843,0.413382867
aiXcoder_prompt_gpt3.5_512_10.jsonl,90,0.460208843,0.360654487
aiXcoder_prompt_gpt3.5_512_10.jsonl,79,0.746104897,0.565611682
aiXcoder_prompt_gpt3.5_512_10.jsonl,68,0.69146259,0.636982502
aiXcoder_prompt_gpt3.5_512_10.jsonl,52,0.921781899,0.898368911
aiXcoder_prompt_gpt3.5_512_10.jsonl,41,0.69146259,0.565240535
aiXcoder_prompt_gpt3.5_512_10.jsonl,38,0.667133885,0.547694647
aiXcoder_prompt_gpt3.5_512_10.jsonl,34,0.460208843,0.387975641
aiXcoder_prompt_gpt3.5_512_10.jsonl,23,0.73057164,0.539062006
aiXcoder_prompt_gpt3.5_512_10.jsonl,22,0.294224283,0.270711582
aiXcoder_prompt_gpt3.5_512_10.jsonl,12,0.860393396,0.64278646
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,171,0.262056908,0.232922631
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,168,0.063437755,0.024541073
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,148,0.420651294,0.177120093
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,144,0.417381657,0.335251618
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,125,0.126875509,0.090758908
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,118,0.559740859,0.505199357
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,73,0.428957184,0.166196929
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,56,0.519716092,0.370301137
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,24,0.392840583,0.191060983
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,18,0.063437755,0.021145918
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,10,0.063437755,0.019096667
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,176,0.591459737,0.539809879
