Model,Language,FRANC NDCG@k,Original NDCG@k
PolyCoder-0.4B,Java,0.2635215223529412,0.15247494088235292
PolyCoder-0.4B,Python,0.49405627822222226,0.420016017
PolyCoder-160M,Java,0.231198873,0.1384620448
PolyCoder-160M,Python,0.4429278741176471,0.3739843308235294
PolyCoder-2.7B,Java,0.3174470201764706,0.22641556252941175
PolyCoder-2.7B,Python,0.5209366114,0.4541453863
codegen-2B-mono,Python,0.5453440824285715,0.4744563610952381
codegen-2B-multi,Java,0.41432045662162165,0.30192816694594593
codegen-2B-multi,Python,0.5335050497894737,0.47384891410526314
codegen-350M-mono,Python,0.4671244628235294,0.3630448584117647
codegen-350M-multi,Java,0.31888060039285715,0.2330175759642857
codegen-350M-multi,Python,0.45807351394444445,0.39443419855555556
codeparrot,Python,0.4628390062857143,0.40206560671428576
codeparrot-small,Python,0.38532671030769233,0.32973950846153843
gpt3.5,Java,0.6694890107297298,0.5774787474324324
gpt3.5,Python,0.46298672727272727,0.37420494863636367
incoder-1B,Java,0.13191816375,0.09792586775
incoder-1B,Python,0.24188390933333334,0.20120862766666667
