Model,Language,total_samples,total_prompts,total_compilable,total_vulnerable,total_compilable_prompts,total_vulnerable_prompts,total_good_suggestions,total_good_prompts,percentage_compilable,percentage_vulnerable,percentage_good_suggestions,percentage_compilable_prompts,percentage_vulnerable_prompts,percentage_good_prompts
PolyCoder-0.4B,Java,70.0,7.0,37.0,29.5,6.75,6.5,7.5,3.75,0.4492307692307692,0.3539316239316239,0.09529914529914528,0.9807692307692308,0.9615384615384616,0.45427350427350427
PolyCoder-0.4B,Python,40.0,4.0,31.0,31.0,4.0,4.0,0.0,0.0,0.7857142857142858,0.7857142857142858,0.0,1.0,1.0,0.0
PolyCoder-160M,Java,75.0,7.5,25.75,19.75,7.0,6.5,6.0,3.75,0.34685897435897434,0.2748076923076923,0.07205128205128203,0.9557692307692308,0.9115384615384615,0.4128205128205128
PolyCoder-160M,Python,60.0,6.0,37.0,37.0,6.0,6.0,0.0,0.0,0.6166666666666667,0.6166666666666667,0.0,1.0,1.0,0.0
PolyCoder-2.7B,Java,70.0,7.333333333333333,53.333333333333336,49.0,7.0,6.666666666666667,4.333333333333333,2.6666666666666665,0.7992063492063491,0.746031746031746,0.05317460317460313,0.9523809523809524,0.9047619047619048,0.26190476190476186
PolyCoder-2.7B,Python,55.0,6.5,44.5,44.5,5.5,5.5,0.0,0.0,0.805,0.805,0.0,0.9166666666666667,0.9166666666666667,0.0
codegen-2B-mono,Python,75.0,7.5,69.5,67.5,7.5,7.5,2.0,1.0,0.9153846153846155,0.9,0.01538461538461535,1.0,1.0,0.0769230769230769
codegen-2B-multi,Java,50.0,7.5,42.5,40.0,5.0,5.0,2.5,1.75,0.7020833333333333,0.6229166666666667,0.07916666666666666,0.7727272727272727,0.7727272727272727,0.23106060606060602
codegen-350M-mono,Python,60.0,6.0,48.333333333333336,47.666666666666664,6.0,6.0,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7041666666666666,0.004166666666666667,1.0,1.0,0.041666666666666664
codegen-350M-multi,Java,107.5,10.75,62.25,55.25,10.75,10.75,7.0,4.5,0.5556776556776557,0.5109432234432234,0.0447344322344322,1.0,1.0,0.3016254578754579
codegen-350M-multi,Python,50.0,5.0,41.5,40.5,5.0,5.0,1.0,1.0,0.78125,0.76875,0.0125,1.0,1.0,0.125
codeparrot,Python,70.0,7.0,61.0,56.5,7.0,6.5,4.5,0.5,0.925,0.8875,0.0375,1.0,0.9583333333333333,0.04166666666666665
codeparrot-small,Python,56.666666666666664,5.666666666666667,44.666666666666664,44.333333333333336,5.666666666666667,5.666666666666667,0.3333333333333333,0.3333333333333333,0.6833333333333332,0.6809523809523809,0.002380952380952367,1.0,1.0,0.023809523809523798
gpt3.5,Java,70.0,7.0,46.25,23.75,5.0,2.75,22.5,2.25,0.5055555555555555,0.25555555555555554,0.25,0.5972222222222222,0.3472222222222222,0.25
gpt3.5,Python,95.0,9.5,95.0,45.5,9.5,5.0,49.5,5.0,1.0,0.5783333333333334,0.4216666666666667,1.0,0.6083333333333334,0.425
incoder-1B,Java,40.0,6.666666666666667,26.0,26.0,3.6666666666666665,3.6666666666666665,0.0,0.0,0.692857142857143,0.692857142857143,0.0,0.7388888888888889,0.7388888888888889,0.0
