Model,Language,total_samples,total_prompts,total_compilable,total_vulnerable,total_compilable_prompts,total_vulnerable_prompts,total_good_suggestions,total_good_prompts,percentage_compilable,percentage_vulnerable,percentage_good_suggestions,percentage_compilable_prompts,percentage_vulnerable_prompts,percentage_good_prompts
PolyCoder-0.4B,Java,70.0,7.0,17.0,8.75,5.0,3.5,8.25,4.0,0.21350427350427348,0.10679487179487178,0.1067094017094017,0.8205128205128205,0.5735042735042735,0.5042735042735043
PolyCoder-0.4B,Python,40.0,4.0,27.5,27.5,4.0,4.0,0.0,0.0,0.5214285714285715,0.5214285714285715,0.0,1.0,1.0,0.0
PolyCoder-160M,Java,75.0,7.5,9.5,5.75,4.25,2.5,3.75,2.5,0.11205128205128202,0.06410256410256407,0.047948717948717925,0.4737179487179487,0.2493589743589743,0.31025641025641026
PolyCoder-160M,Python,60.0,6.0,23.0,23.0,4.0,4.0,0.0,0.0,0.3833333333333333,0.3833333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0
PolyCoder-2.7B,Java,60.0,6.0,15.5,9.75,5.25,4.5,5.75,2.0,0.34464285714285714,0.27499999999999997,0.06964285714285712,0.8392857142857143,0.7678571428571428,0.21428571428571427
PolyCoder-2.7B,Python,60.0,6.5,32.5,32.5,6.0,6.0,0.0,0.0,0.6136363636363635,0.6136363636363635,0.0,0.9583333333333333,0.9583333333333333,0.0
codegen-2B-mono,Python,75.0,7.5,58.5,53.5,7.5,7.5,5.0,1.0,0.7884615384615385,0.75,0.03846153846153845,1.0,1.0,0.0769230769230769
codegen-2B-multi,Java,75.0,7.5,41.75,24.5,7.5,6.5,17.25,5.0,0.4460227272727273,0.2545454545454545,0.19147727272727272,1.0,0.8920454545454546,0.5606060606060606
codegen-2B-multi,Python,90.0,9.0,67.5,64.0,9.0,9.0,3.5,1.0,0.8374999999999999,0.815625,0.021875,1.0,1.0,0.0625
codegen-350M-mono,Python,60.0,6.0,39.0,37.0,5.666666666666667,5.666666666666667,2.0,0.6666666666666666,0.65,0.6375000000000001,0.012499999999999999,0.9791666666666666,0.9791666666666666,0.041666666666666664
codegen-350M-multi,Java,107.5,10.75,34.75,21.5,9.75,7.75,13.25,5.75,0.28984661172161175,0.20462454212454212,0.08522206959706957,0.9377289377289377,0.8205128205128205,0.36378205128205127
codegen-350M-multi,Python,50.0,5.0,35.0,33.5,4.5,4.5,1.5,0.5,0.68125,0.6625000000000001,0.01875,0.9375,0.9375,0.0625
codeparrot,Python,70.0,7.0,47.0,39.0,5.0,4.0,8.0,1.0,0.8083333333333333,0.7416666666666667,0.06666666666666665,0.8333333333333333,0.75,0.0833333333333333
codeparrot-small,Python,56.666666666666664,5.666666666666667,44.333333333333336,40.333333333333336,5.0,4.333333333333333,4.0,0.6666666666666666,0.85,0.5738095238095239,0.27619047619047615,0.9523809523809524,0.5952380952380952,0.35714285714285715
gpt3.5,Java,70.0,7.0,22.75,17.75,2.5,2.5,5.0,0.75,0.3388888888888889,0.12222222222222223,0.21666666666666667,0.375,0.375,0.2777777777777778
gpt3.5,Python,95.0,9.5,95.0,41.5,9.5,5.0,53.5,5.5,1.0,0.5516666666666666,0.4483333333333333,1.0,0.6083333333333334,0.4583333333333333
incoder-1B,Java,63.333333333333336,6.666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.002380952380952367,0.0,0.002380952380952367,0.0222222222222222,0.0,0.0222222222222222
