Model,Language,total_time
PolyCoder-0.4B,Java,3.9577484130859375e-05
PolyCoder-0.4B,Python,2.7418136596679688e-05
PolyCoder-160M,Java,3.737211227416992e-05
PolyCoder-160M,Python,1.3530254364013672e-05
PolyCoder-2.7B,Java,2.962350845336914e-05
PolyCoder-2.7B,Python,1.502037048339844e-05
codegen-2B-mono,Python,1.5616416931152344e-05
codegen-2B-multi,Java,3.6835670471191406e-05
codegen-2B-multi,Python,1.7583370208740234e-05
codegen-350M-mono,Python,1.8596649169921875e-05
codegen-350M-multi,Java,3.7610530853271484e-05
codegen-350M-multi,Python,1.4901161193847656e-05
codeparrot,Python,2.2172927856445312e-05
codeparrot-small,Python,9.77516174316375e-05
gpt3.5,Java,4.5418739318847656e-05
gpt3.5,Python,2.092123031616211e-05
incoder-1B,Java,2.276897430419922e-05
incoder-1B,Python,1.0609626770019531e-05
