Model,Language,total_prompts,total_samples,total_compilable_before_static_filter,total_vulnerable_before_static_filter,percentage_compilable_before_static_filter,percentage_vulnerable_before_static_filter,total_compilable_prompts_before_static_filter,total_vulnerable_prompts_before_static_filter,percentage_compilable_prompts_before_static_filter,percentage_vulnerable_prompts_before_static_filter,total_compilable,total_vulnerable,total_compilable_prompts,total_vulnerable_prompts,total_time_taken_static_filter,total_time_taken_quality_filter,percentage_compilable,percentage_vulnerable,percentage_compilable_prompts,percentage_vulnerable_prompts,average_time_taken_static_filter,average_time_taken_quality_filter
PolyCoder-0.4B,Java,148.5,1482.5,2.5,0.5,0.002913819875776375,0.000299107142857125,2.25,0.5,0.020170807453416123,0.002981366459627325,176.25,40.0,79.5,27.75,24.054902970790863,2661.932905614376,0.1308476319875776,0.0333024068322981,0.5375,0.19982919254658382,0.015473274548138825,1.8040399332604609
PolyCoder-0.4B,Python,139.25,1392.5,296.0,27.75,0.21327577620971525,0.022514584775743498,119.0,20.0,0.8695772053069846,0.1597100395507317,850.75,72.75,128.75,31.5,0.06603491306304927,116.01403850317,0.6239651439614082,0.06064940751109165,0.952389507725476,0.23294053346955107,4.7186013738132375e-05,0.08383300139519573
PolyCoder-160M,Java,148.5,1482.5,2.5,0.0,0.001332104037267075,0.0,2.5,0.0,0.013291925465838475,0.0,148.5,31.75,79.25,24.75,22.193295657634735,3177.0360758304596,0.1130137810559006,0.02397437888198755,0.5452329192546583,0.17079192546583843,0.014051543721315975,2.0982615940305203
PolyCoder-160M,Python,139.25,1392.5,273.25,33.0,0.19726091881061514,0.02543015176763847,116.5,21.0,0.8497271001597138,0.14898060983330433,804.0,66.5,128.75,30.5,0.06562048196792597,116.91775071620941,0.5924549681094317,0.057806157177120204,0.952389507725476,0.23482107122929446,4.680545304618851e-05,0.08377352972700763
PolyCoder-2.7B,Java,148.5,1362.5,2.75,0.5,0.001850794261529125,0.000285714285714275,2.5,0.5,0.014316770186335374,0.00285714285714285,195.75,47.5,76.0,29.0,20.45329922437668,2519.1034576296806,0.14659749069137293,0.040427721488321675,0.5123447204968944,0.19736024844720493,0.01441187175506445,1.8452892049747138
PolyCoder-2.7B,Python,139.25,1370.0,309.75,37.0,0.22723913043478255,0.030403640441683876,117.75,23.5,0.8706026520316023,0.19316794183033456,852.5,82.0,127.0,34.5,0.06257164478301995,117.99708741903305,0.6502329192546583,0.07279537612146302,0.9434685109068123,0.2806647179261177,4.5779332940211537e-05,0.08814528238096668
codegen-2B-mono,Python,139.25,1382.5,482.0,64.75,0.3429266366576277,0.0518397381794601,126.5,34.5,0.9182797768766148,0.2640432954686305,957.75,104.25,128.0,36.75,0.06622391939163202,126.52834564447403,0.7327920708199047,0.09031234877302118,0.9491286381602587,0.28414202727443827,4.863587164075149e-05,0.09222158678303122
codegen-2B-multi,Java,148.5,1470.0,90.25,14.0,0.0743132638749749,0.01390072129833695,51.75,11.5,0.39947204968944094,0.10925465838509313,456.25,138.25,104.5,64.25,21.0177783370018,3394.1265859007835,0.3176594369865758,0.11004468042476455,0.7287422360248448,0.46329192546583847,0.0149879373583686,2.1950317806082267
codegen-2B-multi,Python,139.25,1382.5,533.5,72.75,0.404852929758989,0.05874860097126737,127.25,38.0,0.94296066252588,0.2876356856774768,943.75,89.5,128.25,33.25,0.06539440155029293,116.59250563383102,0.7182737069538523,0.07561208621941402,0.9511947538627381,0.243910963068873,4.76213583547226e-05,0.0852662380853971
codegen-350M-mono,Python,139.25,1392.5,484.5,50.0,0.34555853723223334,0.0393612715412098,126.5,27.75,0.9314594572656368,0.21108119522753666,901.0,91.0,127.5,31.0,0.06592464447021483,121.68225437402725,0.6839223698471264,0.08003792991127892,0.9430380883938196,0.25291366342773836,4.7841457628563284e-05,0.0887031901781509
codegen-350M-multi,Java,148.5,1485.0,64.75,11.5,0.0585652173913043,0.0110093167701863,44.75,10.5,0.36925465838509314,0.10472049689440988,303.25,74.75,100.25,49.0,24.628481149673462,3093.8038296699524,0.21646428571428566,0.055333850931676976,0.6938819875776397,0.3428260869565217,0.016745610383356525,2.0202110243806186
codegen-350M-multi,Python,139.25,1392.5,512.5,57.25,0.3706137035543909,0.0488381899520191,126.75,29.5,0.9404232360235927,0.2306919333117154,944.25,82.75,128.5,30.5,0.06581169366836542,117.84355986118318,0.7141124169140414,0.0733011548045771,0.9508651174815737,0.24083370476048577,4.773249734455134e-05,0.0847529437335891
codeparrot,Python,139.25,1390.0,355.5,42.25,0.25977925175487115,0.03525142660893875,121.25,25.75,0.9001641843647531,0.2020220295948147,887.25,68.75,127.25,24.25,0.07250463962554927,120.22096586227417,0.689645822988032,0.06401955606192425,0.9448886094143012,0.20526452603599998,5.2646509151194015e-05,0.08579398356025575
codeparrot-small,Python,139.25,1392.5,284.5,40.25,0.22221336935342043,0.03409954007719838,114.75,22.75,0.8758938717858509,0.17747770080749928,783.75,70.25,125.75,24.25,0.0728443264961242,115.74473071098328,0.6369382164318538,0.06457560326655573,0.9393460294646065,0.19661712809187015,5.293924234469412e-05,0.08545950197832156
gpt3.5,Java,148.5,1485.0,3.75,2.75,0.008871118012422298,0.0082872670807453,1.75,0.75,0.01728260869565215,0.011444099378881974,838.75,218.75,111.25,62.75,54.2643278837204,3266.9292485117912,0.4690791925465838,0.12826863354037263,0.6109782608695652,0.3493012422360248,0.03409034590395338,2.087182886343935
gpt3.5,Python,139.25,1392.5,836.25,65.5,0.5775476532689972,0.04679927972345782,118.0,20.5,0.8323490461625523,0.1504337403173323,1031.25,90.5,131.25,19.75,4.324615001678467,123.56337118148804,0.6852487956787581,0.06840425505276555,0.8966032726070805,0.14867348861492308,0.00235656938721441,0.0872773687613941
incoder-1B,Java,148.5,1485.0,1.25,0.75,0.001513975155279475,0.00046583850931675,1.25,0.75,0.015139751552795025,0.0046583850931677,116.0,8.0,30.25,7.0,29.741469025611877,2519.062003970146,0.0872282608695652,0.00666925465838505,0.21520186335403724,0.06234472049689438,0.0228369977181742,1.7086521424651147
incoder-1B,Python,139.25,1392.5,746.0,40.25,0.5590956254854115,0.039566936806886624,126.75,7.5,0.9369744044958543,0.06671423229554915,829.25,38.0,127.25,7.0,0.0734665989875793,105.0701036453247,0.6870192611061935,0.0311007817498225,0.9449929011507147,0.05480947039078725,5.47376555529854e-05,0.06263967228982227
