Unnamed: 0,Dataset,Model,Language,total_samples,total_prompts,total_compilable,total_vulnerable,total_compilable_prompts,total_vulnerable_prompts,total_good_suggestions,total_good_prompts,percentage_compilable,percentage_vulnerable,percentage_good_suggestions,percentage_compilable_prompts,percentage_vulnerable_prompts,percentage_good_prompts
SecurityEval_python_codeparrot-small_128_10.jsonl,SecurityEval_python,codeparrot-small,Python,140,14,112,111,14,14,1,1,0.8,0.7928571428571428,0.0071428571428571,1.0,1.0,0.0714285714285714
SOEvalJava_PolyCoder-0.4B_128_10.jsonl,SOEvalJava,PolyCoder-0.4B,Java,10,1,1,1,1,1,0,0,0.1,0.1,0.0,1.0,1.0,0.0
SOEvalPython_codegen-350M-mono_128_10.jsonl,SOEvalPython,codegen-350M-mono,Python,10,1,7,7,1,1,0,0,0.7,0.7,0.0,1.0,1.0,0.0
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java,incoder-1B,Java,70,15,58,58,7,7,0,0,0.8285714285714286,0.8285714285714286,0.0,0.4666666666666667,0.4666666666666667,0.0
SOEvalJava_codegen-2B-multi_128_10.jsonl,SOEvalJava,codegen-2B-multi,Java,10,1,5,5,1,1,0,0,0.5,0.5,0.0,1.0,1.0,0.0
SecurityEval_python_codegen-2B-mono_128_10.jsonl,SecurityEval_python,codegen-2B-mono,Python,130,13,121,117,13,13,4,2,0.9307692307692308,0.9,0.0307692307692307,1.0,1.0,0.1538461538461538
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-0.4B,Java,90,9,54,46,9,9,8,5,0.6,0.5111111111111111,0.0888888888888888,1.0,1.0,0.5555555555555556
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,CoderEval4Python_prompt,gpt3.5,Python,40,4,40,30,4,3,10,1,1.0,0.75,0.25,1.0,0.75,0.25
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,Java,130,13,62,50,12,11,12,6,0.4769230769230769,0.3846153846153846,0.0923076923076923,0.9230769230769232,0.8461538461538461,0.4615384615384615
SOEvalPython_codeparrot-small_128_10.jsonl,SOEvalPython,codeparrot-small,Python,20,2,19,19,2,2,0,0,0.95,0.95,0.0,1.0,1.0,0.0
