Unnamed: 0,Dataset,Model,total_samples,total_prompts,total_compilable,total_vulnerable,total_compilable_prompts,total_vulnerable_prompts,total_good_suggestions,total_good_prompts,percentage_compilable,percentage_vulnerable,percentage_good_suggestions,percentage_compilable_prompts,percentage_vulnerable_prompts,percentage_good_prompts
SecurityEval_python_codeparrot-small_128_10.jsonl,SecurityEval_python,codeparrot-small,140,14,105,101,12,11,4,1,0.75,0.7214285714285714,0.0285714285714285,0.8571428571428571,0.7857142857142857,0.0714285714285714
SOEvalJava_PolyCoder-0.4B_128_10.jsonl,SOEvalJava,PolyCoder-0.4B,10,1,1,1,1,1,0,0,0.1,0.1,0.0,1.0,1.0,0.0
SOEvalPython_codegen-350M-mono_128_10.jsonl,SOEvalPython,codegen-350M-mono,10,1,7,7,1,1,0,0,0.7,0.7,0.0,1.0,1.0,0.0
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java,incoder-1B,140,15,1,0,1,0,1,1,0.0071428571428571,0.0,0.0071428571428571,0.0666666666666666,0.0,0.0666666666666666
SecurityEval_python_codegen-2B-multi_128_10.jsonl,SecurityEval_python,codegen-2B-multi,160,16,116,109,16,16,7,2,0.725,0.68125,0.04375,1.0,1.0,0.125
SOEvalJava_codegen-2B-multi_128_10.jsonl,SOEvalJava,codegen-2B-multi,10,1,1,1,1,1,0,0,0.1,0.1,0.0,1.0,1.0,0.0
SecurityEval_python_codegen-2B-mono_128_10.jsonl,SecurityEval_python,codegen-2B-mono,130,13,101,91,13,13,10,2,0.7769230769230769,0.7,0.0769230769230769,1.0,1.0,0.1538461538461538
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-0.4B,90,9,23,12,6,5,11,5,0.2555555555555555,0.1333333333333333,0.1222222222222222,0.6666666666666666,0.5555555555555556,0.5555555555555556
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,CoderEval4Python_prompt,gpt3.5,40,4,40,30,4,3,10,1,1.0,0.75,0.25,1.0,0.75,0.25
HumanEval_java_PolyCoder-2.7B_128_10.jsonl,HumanEval_java,PolyCoder-2.7B,20,2,2,2,1,1,0,0,0.1,0.1,0.0,0.5,0.5,0.0
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,130,13,31,20,8,7,11,6,0.2384615384615384,0.1538461538461538,0.0846153846153846,0.6153846153846154,0.5384615384615384,0.4615384615384615
SOEvalPython_codeparrot-small_128_10.jsonl,SOEvalPython,codeparrot-small,20,2,20,20,2,2,0,0,1.0,1.0,0.0,1.0,1.0,0.0
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,110,11,56,24,11,9,32,10,0.509090909090909,0.2181818181818181,0.2909090909090909,1.0,0.8181818181818182,0.9090909090909092
SOEvalPython_PolyCoder-2.7B_128_10.jsonl,SOEvalPython,PolyCoder-2.7B,10,1,7,7,1,1,0,0,0.7,0.7,0.0,1.0,1.0,0.0
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,SecurityEval_python,PolyCoder-2.7B,110,12,58,58,11,11,0,0,0.5272727272727272,0.5272727272727272,0.0,0.9166666666666666,0.9166666666666666,0.0
SOEvalPython_codegen-2B-multi_128_10.jsonl,SOEvalPython,codegen-2B-multi,20,2,19,19,2,2,0,0,0.95,0.95,0.0,1.0,1.0,0.0
