Unnamed: 0,Dataset,Model,Language,total_time
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-0.4B,Java,4.172325134277344e-05
CoderEval4Java_prompt_PolyCoder-160M_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-160M,Java,4.6253204345703125e-05
CoderEval4Java_prompt_PolyCoder-2.7B_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-2.7B,Java,3.910064697265625e-05
CoderEval4Java_prompt_codegen-2B-multi_128_10.jsonl,CoderEval4Java_prompt,codegen-2B-multi,Java,3.123283386230469e-05
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Java_prompt,codegen-350M-multi,Java,3.24249267578125e-05
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,CoderEval4Java_prompt,gpt3.5,Java,5.841255187988281e-05
CoderEval4Java_prompt_incoder-1B_128_10.jsonl,CoderEval4Java_prompt,incoder-1B,Java,1.931190490722656e-05
CoderEval4Python_prompt_PolyCoder-0.4B_128_10.jsonl,CoderEval4Python_prompt,PolyCoder-0.4B,Python,0.0
CoderEval4Python_prompt_PolyCoder-160M_128_10.jsonl,CoderEval4Python_prompt,PolyCoder-160M,Python,0.0
CoderEval4Python_prompt_PolyCoder-2.7B_128_10.jsonl,CoderEval4Python_prompt,PolyCoder-2.7B,Python,0.0
CoderEval4Python_prompt_codegen-2B-mono_128_10.jsonl,CoderEval4Python_prompt,codegen-2B-mono,Python,0.0
CoderEval4Python_prompt_codegen-2B-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-2B-multi,Python,0.0
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-mono,Python,8.106231689453125e-06
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-multi,Python,0.0
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,CoderEval4Python_prompt,codeparrot-small,Python,7.867813110351562e-06
CoderEval4Python_prompt_codeparrot_128_10.jsonl,CoderEval4Python_prompt,codeparrot,Python,0.0
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,CoderEval4Python_prompt,gpt3.5,Python,2.408027648925781e-05
CoderEval4Python_prompt_incoder-1B_128_10.jsonl,CoderEval4Python_prompt,incoder-1B,Python,0.0
HumanEval_java_PolyCoder-0.4B_128_10.jsonl,HumanEval_java,PolyCoder-0.4B,Java,2.408027648925781e-05
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java,PolyCoder-160M,Java,4.220008850097656e-05
HumanEval_java_PolyCoder-2.7B_128_10.jsonl,HumanEval_java,PolyCoder-2.7B,Java,1.2874603271484377e-05
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,4.410743713378906e-05
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,Java,6.222724914550781e-05
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,Java,1.9073486328125e-05
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java,incoder-1B,Java,5.269050598144531e-05
HumanEval_python_PolyCoder-0.4B_128_10.jsonl,HumanEval_python,PolyCoder-0.4B,Python,0.0
