Unnamed: 0,Dataset,Model,Language,total_prompts,total_samples,total_compilable_before_static_filter,total_vulnerable_before_static_filter,percentage_compilable_before_static_filter,percentage_vulnerable_before_static_filter,total_compilable_prompts_before_static_filter,total_vulnerable_prompts_before_static_filter,percentage_compilable_prompts_before_static_filter,percentage_vulnerable_prompts_before_static_filter,total_compilable,total_vulnerable,total_compilable_prompts,total_vulnerable_prompts,total_time_taken_static_filter,total_time_taken_quality_filter,percentage_compilable,percentage_vulnerable,percentage_compilable_prompts,percentage_vulnerable_prompts,average_time_taken_static_filter,average_time_taken_quality_filter
SecurityEval_python_codeparrot-small_128_10.jsonl,SecurityEval_python,codeparrot-small,Python,121,1210,332,119,0.2743801652892562,0.0983471074380165,117,55,0.9669421487603306,0.4545454545454545,726,222,119,57,0.0595836639404296,100.41597414016724,0.6,0.1834710743801653,0.9834710743801652,0.4710743801652892,4.9242697471429496e-05,0.0829884083803035
SOEvalJava_PolyCoder-0.4B_128_10.jsonl,SOEvalJava,PolyCoder-0.4B,Java,28,280,2,0,0.0071428571428571,0.0,1,0,0.0357142857142857,0.0,50,16,15,7,3.78973650932312,514.2139513492584,0.1785714285714285,0.0571428571428571,0.5357142857142857,0.25,0.0135347732475825,1.836478397675923
CoderEval4Python_prompt_codeparrot_128_10.jsonl,CoderEval4Python_prompt,codeparrot,Python,230,2290,450,22,0.1965065502183406,0.0096069868995633,172,21,0.7478260869565218,0.0913043478260869,987,31,185,28,0.1056990623474121,206.0011146068573,0.4310043668122271,0.0135371179039301,0.8043478260869565,0.1217391304347826,4.615679578489612e-05,0.0899568186056145
SOEvalPython_codegen-350M-mono_128_10.jsonl,SOEvalPython,codegen-350M-mono,Python,42,420,136,7,0.3238095238095238,0.0166666666666666,40,5,0.9523809523809524,0.119047619047619,343,28,42,10,0.0203731060028076,40.1631453037262,0.8166666666666667,0.0666666666666666,1.0,0.238095238095238,4.850739524478004e-05,0.0956265364374433
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java,incoder-1B,Java,161,1610,4,3,0.0024844720496894,0.001863354037267,4,3,0.0248447204968944,0.0186335403726708,49,18,42,18,68.10566258430481,2657.731150150299,0.0304347826086956,0.0111801242236024,0.2608695652173913,0.1118012422360248,0.0423016537790713,1.6507646895343473
SecurityEval_python_codegen-2B-multi_128_10.jsonl,SecurityEval_python,codegen-2B-multi,Python,121,1210,494,193,0.4082644628099173,0.1595041322314049,121,76,1.0,0.628099173553719,765,253,120,65,0.0542163848876953,97.54155731201172,0.6322314049586777,0.209090909090909,0.9917355371900828,0.5371900826446281,4.480692965925232e-05,0.0806128572826543
HumanEval_python_PolyCoder-2.7B_128_10.jsonl,HumanEval_python,PolyCoder-2.7B,Python,164,1610,370,17,0.2298136645962732,0.0105590062111801,151,16,0.9207317073170732,0.0975609756097561,1163,34,161,31,0.0847909450531005,138.4086332321167,0.7223602484472049,0.0211180124223602,0.9817073170731708,0.1890243902439024,5.266518326279539e-05,0.0859680951752277
SOEvalJava_codegen-2B-multi_128_10.jsonl,SOEvalJava,codegen-2B-multi,Java,28,280,34,8,0.1214285714285714,0.0285714285714285,16,6,0.5714285714285714,0.2142857142857142,93,42,21,14,4.499253511428833,559.2224690914154,0.3321428571428571,0.15,0.75,0.5,0.0160687625408172,1.997223103897912
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-multi,Python,230,2300,805,33,0.35,0.0143478260869565,187,29,0.8130434782608695,0.1260869565217391,1378,51,190,40,0.0966551303863525,195.0945341587067,0.5991304347826087,0.0221739130434782,0.8260869565217391,0.1739130434782608,4.202396973319676e-05,0.0848237105037855
SecurityEval_python_codegen-2B-mono_128_10.jsonl,SecurityEval_python,codegen-2B-mono,Python,121,1210,443,168,0.3661157024793388,0.1388429752066115,119,67,0.9834710743801652,0.5537190082644629,794,284,119,59,0.0578880310058593,131.23298740386963,0.656198347107438,0.2347107438016528,0.9834710743801652,0.4876033057851239,4.784134793872676e-05,0.1084570143833633
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-0.4B,Java,230,2300,2,0,0.0008695652173913,0.0,2,0,0.008695652173913,0.0,267,51,113,38,40.08857297897339,4106.464511394501,0.1160869565217391,0.0221739130434782,0.4913043478260869,0.1652173913043478,0.017429814338684,1.7854193527802178
HumanEval_python_codegen-350M-multi_128_10.jsonl,HumanEval_python,codegen-350M-multi,Python,164,1640,627,27,0.3823170731707317,0.0164634146341463,161,22,0.9817073170731708,0.1341463414634146,1315,18,163,13,0.090879201889038,141.32941961288452,0.801829268292683,0.0109756097560975,0.9939024390243902,0.0792682926829268,5.541414749331591e-05,0.08617647537371
HumanEval_python_codegen-350M-mono_128_10.jsonl,HumanEval_python,codegen-350M-mono,Python,164,1640,723,34,0.4408536585365853,0.0207317073170731,163,28,0.9939024390243902,0.1707317073170731,1302,43,164,29,0.0898916721343994,152.98166060447693,0.7939024390243903,0.0262195121951219,1.0,0.1768292682926829,5.481199520390208e-05,0.0932815003685834
aiXcoder_prompt_incoder-1B_128_10.jsonl,aiXcoder_prompt,incoder-1B,Java,175,1750,0,0,0.0,0.0,0,0,0.0,0.0,115,0,27,0,10.10676622390747,2937.525081396103,0.0657142857142857,0.0,0.1542857142857142,0.0,0.0057752949850899,1.678585760797773
