task_id,dataset_name
15,aiXcoder_prompt
44,aiXcoder_prompt
153,aiXcoder_prompt
137,aiXcoder_prompt
36,aiXcoder_prompt
166,aiXcoder_prompt
69,aiXcoder_prompt
88,aiXcoder_prompt
55,aiXcoder_prompt
43,aiXcoder_prompt
636766a81a6d9265ec01757b,CoderEval4Java_prompt
636767e11a6d9265ec018790,CoderEval4Java_prompt
636767021a6d9265ec0178b2,CoderEval4Java_prompt
6367670a1a6d9265ec0179f1,CoderEval4Java_prompt
636766fe1a6d9265ec017823,CoderEval4Java_prompt
636766a91a6d9265ec0175c2,CoderEval4Java_prompt
636767dc1a6d9265ec0186be,CoderEval4Java_prompt
636767441a6d9265ec017cc1,CoderEval4Java_prompt
636766f21a6d9265ec01767d,CoderEval4Java_prompt
636767df1a6d9265ec018744,CoderEval4Java_prompt
636766fe1a6d9265ec017838,CoderEval4Java_prompt
636767031a6d9265ec0178e6,CoderEval4Java_prompt
636767a41a6d9265ec01857e,CoderEval4Java_prompt
HumanEval_java/143,HumanEval_java
HumanEval_java/60,HumanEval_java
HumanEval_java/62,HumanEval_java
HumanEval_java/84,HumanEval_java
HumanEval_java/78,HumanEval_java
HumanEval_java/129,HumanEval_java
HumanEval_java/151,HumanEval_java
HumanEval_java/65,HumanEval_java
HumanEval_java/120,HumanEval_java
1757065,SOEvalJava
3422673,SOEvalJava
